phibin,etabin,calib_factor
0, 0, 0.992791
0, 1, 0.857155
0, 2, 1.01429
0, 3, 0.819296
0, 4, 1.02767
0, 5, 0.761454
0, 6, 0.896858
0, 7, 0.972265
0, 8, 1.11147
0, 9, 0.989205
0, 10, 0.863216
0, 11, 1.19631
0, 12, 0.769846
0, 13, 0.978018
0, 14, 0.766832
0, 15, 0.913675
0, 16, 0.871249
0, 17, 0.866567
0, 18, 0.654711
0, 19, 0.645026
0, 20, 0.686541
0, 21, 0.834907
0, 22, 1.28831
0, 23, 1.15251
0, 24, 0.924579
0, 25, 0.814414
0, 26, 0.939776
0, 27, 0.715683
0, 28, 0.715549
0, 29, 0.992814
0, 30, 0.825611
0, 31, 0.992835
0, 32, 0.925472
0, 33, 0.992855
0, 34, 0.795602
0, 35, 0.924767
0, 36, 0.779372
0, 37, 0.836164
0, 38, 0.708916
0, 39, 0.809074
0, 40, 0.676381
0, 41, 0.718923
0, 42, 0.824306
0, 43, 0.606445
0, 44, 0.891163
0, 45, 0.934332
0, 46, 0.992872
0, 47, 1.36339
0, 48, 0.845429
0, 49, 1.13582
0, 50, 1.30624
0, 51, 1.38798
0, 52, 1.25489
0, 53, 1.17374
0, 54, 0.858191
0, 55, 0.839727
0, 56, 0.992842
0, 57, 0.992869
0, 58, 0.74741
0, 59, 0.680766
0, 60, 0.721997
0, 61, 0.996836
0, 62, 0.757572
0, 63, 0.766585
0, 64, 0.928971
0, 65, 1.1153
0, 66, 1.24954
0, 67, 1.24598
0, 68, 0.617575
0, 69, 0.99289
0, 70, 0.62159
0, 71, 0.992908
0, 72, 0.881519
0, 73, 0.992929
0, 74, 0.992953
0, 75, 0.768463
0, 76, 0.754306
0, 77, 0.795709
0, 78, 0.992978
0, 79, 0.840383
0, 80, 0.847648
0, 81, 0.788166
0, 82, 1.07494
0, 83, 1.68398
0, 84, 0.783108
0, 85, 0.992998
0, 86, 1.07659
0, 87, 1.01783
0, 88, 0.610989
0, 89, 0.723242
0, 90, 0.847185
0, 91, 0.851276
0, 92, 0.705347
0, 93, 0.993016
0, 94, 1.06993
0, 95, 0.993042
1, 0, 0.924973
1, 1, 0.924973
1, 2, 0.876383
1, 3, 0.824399
1, 4, 0.877768
1, 5, 0.927304
1, 6, 0.776753
1, 7, 0.83907
1, 8, 0.993269
1, 9, 0.776314
1, 10, 0.758654
